Verse,Text
1,"Oñ u kakini, Gbogbo abu kʼe̩ne̩ ki aje̩ e̩wñ ogu le̩ ma mʼo̩la ta n, i chʼojoji ñw adu n, abu kʼi chaka chʼodu e̩wñ du; "
2,"i la dʼef o̩wo̩ abo ku ma dʼu nyʼuma o̩wo̩, kpai o̩wo̩ abo ku ma dejutʼunyi gbogbo kad o̩jo̩ kʼata-wñ da. "
3,"Abe̩le̩ awa ge̩, e̩gba kʼa ma mʼo̩la ta n, a jʼef o̩wo̩ e̩wñ-uko̩che̩-ile̩-i dab adu: "
4,"ama e̩gba kʼiko-wñ jo̩, O̩jo̩ fʼO̩ma-wñ kpuche̩ dufu, onobule̩ bi, i la bi tef o̩lo̩da, "
5,"todu kʼi fʼabo ku ma jʼef o̩wo̩ o̩lo̩da la rʼane̩, todu kʼawa ki mʼo̩da o̩ma gba. "
6,"Oñ abu ku me̩ chʼamo̩ga o̩ma, O̩jo̩ fʼAfu O̩ma-wñ kpuche̩ dufu tʼef e̩do̩-wa, i nakwa kakini, Ada, Ata. "
7,"To̩dabe̩le̩ e̩ ño̩ chʼadu ge̩ n, chai o̩ga o̩ma; i la che̩wñ kʼe̩ chʼo̩ga o̩ma, mak e̩ne̩ ki aje̩ e̩wñ ogu lef O̩jo̩ uwe̩ che."
8,"Ama e̩gbale̩, abu ku me̩ ma ma O̩jo̩ n, ame̩ chʼadu ñw abo kʼitaligba-ma ma chʼamo̩jo̩ n: "
9,"ama fai abu ku me̩ ma O̩jo̩-i, (O̩jo̩ ma me̩, ma nyo̩ eka tule,) abile ku me̩ ño̩ dabi rida anʼe̩wñ e̩gbo kpai e̩wñ uko̩che̩ ile̩-i, ki ño̩ du me̩ e̩do̩ ku me̩ dabi chʼadu ñw u etito̩ ge̩? "
10,Ame̩ nʼo̩jo̩ ucholo kpai ochu kpai iko iko kpai o̩do̩ ade. 
11,"Narailo todu me̩, tode̩gba kʼu fʼakanya uko̩lo̩ ugbo me̩ che tinyo̩ ofofo."
12,"Me̩ ki dab omi, todabu kʼomi ño̩ dab ame̩ ge̩, amo̩maye, o̩ko̩ nagbabʼume̩-i. I nʼuji du ku me̩ che nyʼumi n: "
13,"ame̩ la chema kakini, Lugbo e̩gbo e-o̩re̩la oñ u fʼUche̩nyo̩ je̩rʼume̩ e̩gba ejodudu le̩; "
14,"oñ e̩wñ ef o̩re̩la-mi kʼi jʼume̩ ma le̩ me̩ dʼo̩ ribe̩te̩ n, me̩ la chihie̩ne̩ owñ n; me̩ muda gba mi dabe̩ne̩ kʼu che onuche̩ O̩jo̩, dabe̩ne̩ ku Kraist Jisus. "
15,"Todule̩ ugbo ugbede e-me̩ de̩? Todu nagba me̩ ibenu kakini, I ma jʼache, ame̩ ma mʼe̩yo̩ eju-me̩ ne̩ ku me̩ ko ñwu mi. "
16,Oñ u mud e̩nebi-me̩ ugbo ochochi kʼu naka ñwu me̩? 
17,"Ego̩laru ku ma ago̩larʼume̩ le̩ chʼo̩me̩me̩le̩ n; i la dʼuma e̩do̩ ku ma rʼo̩na nyʼume̩ tʼo̩do̩da, todu kʼame̩ ki go̩larʼama. "
18,"I la nyo̩ kʼone̩ ki dʼef ego̩larʼe̩wñ o̩me̩me̩le̩ e̩gba du, i ki chʼe̩gba kʼu dʼugbo me̩ kate n. "
19,"Amo̩ma-mi, kʼu dabi achefu ebi me̩ gbogbo taku ma fu Kraist da atʼume̩ efu, "
20,"i la dʼumi e̩do̩ kʼu dʼugbo me̩ abajo̩-i, kʼu rʼomuko̩la-mi da; todu alu ku me̩ de̩ chefitu mi."
21,"Me̩ ka ñwu mi, ame̩ ki dʼume̩ e̩do̩ ku me̩ jʼef o̩wo̩ o̩lo̩da, me̩ gbo̩ abu kʼo̩lo̩da ka n? "
22,"Todu i che̩ko̩tane̩ kakini, Ebraham nʼamo̩ma e̩ne̩ke̩le̩ meji, imo̩to̩ uko̩lo̩ le̩ bi oka ñw u, o̩mone̩ le̩ la bi oka ñw u. "
23,"E-kʼimo̩to̩ uko̩lo̩ muda bi, i bi lo̩na o̩re̩la; ama e-kʼo̩mone̩ le̩ bi lʼef o̩la ukatane̩ le̩. "
24,"E̩wñ meji-i chʼujiwe o̩la; todu abo-i chʼalo-ekpe̩ meji; oka kwo oj uwo Sainai, kʼi abi amo̩ma rʼef adu, owñ che Hagar. "
25,"Oñ Hagar kide̩ chʼuwo Sainai ef ane̩ Arabia, oñ i dʼoj o̩gbaʼka kpai Je̩rusale̩m ki do̩mo̩ fai; todu owñ dʼef adu manyʼamo̩ma-wñ. "
26,"Ama Je̩rusale̩m ki dʼate̩ chʼo̩mone̩, e-le̩ chʼiye-wa. "
27,"Todu i che̩ko̩tane̩ kakini,"
28,"Oñ ame̩, amo̩maye, me̩ chʼamo̩ma e-o̩la ukatane̩ alu kʼAise̩k de̩. "
29,"Ama alu kʼe̩ne̩ ku ma bi lo̩na o̩re̩la le̩ doli e̩ne̩ ku ma bi lo̩na Afu e̩gbale̩, abe̩le̩ i ño̩ de̩ fai ge̩. "
30,"AbʼO̩takada O̩la O̩jo̩ muda ka ta? I kakini, Me̩ fʼimo̩to̩ uko̩lo̩ le̩ kpai o̩ma-wñ ne dufu: todu i nʼugbo du kʼo̩ma imo̩to̩ uko̩lo̩ aje̩ e̩wñ ogu manyʼo̩ma o̩mone̩ le̩ n. "
31,"Todu kide̩, amo̩maye, awa chʼamo̩ma imo̩to̩ uko̩lo̩ n, chai e-o̩mone̩."
