Verse,Text
1,"Taku Boaz mute̩gu nyʼalaku, oñ kwoguguane̩ o̩mo̩; e̩ la go, e̩ne̩ kʼi nʼo̩da egba ma tane̩ ki Boaz kʼo̩la-wñ le̩ alale; oñ i kakini, Uwe̩ ki alo-i, na emi, kʼe̩ guguane̩; oñ i muna aguguane̩. "
2,"Tak i mʼabogijo me̩gwa ewo le̩ ko wa, oñ i kakini, Me̩ gugu emi. Oñ ma kwoguguane̩. "
3,"Tak i ka ñw e̩ne̩ kʼi nʼo̩da egba ma tane̩ le̩ kakini, Neomi, e-kʼi dabi kwʼane̩ Moab wa, ache kʼi bʼane̩ kʼo̩maye-wa Elime̩le̩k ne̩ le̩ ta. "
4,"Oñ ibe ka ñwu mi kʼu nadʼo̩la le̩ tʼuwe̩ e̩ti, kakini, Uwe̩ ki mʼu gba la eju abo ku ma gugu emi, kpai eju abogijo abo-mi-i. Iche̩wñ ki dʼuwe̩ e̩do̩ kʼe̩ gba tane̩, mʼu gba tane̩ ke; i muda che̩wñ ki ma dʼuwe̩ e̩do̩ kʼe̩ gba tane̩ n, mak e̩ ka ñwu mi, kʼu ma; todu i nʼe̩ne̩ du kʼi agba tane̩ tʼuwe̩ le n, tak omi ro̩nʼe̩. Tak i kakini, Omi agba tane̩. "
5,"Taku Boaz kakini. E̩ fʼuche̩ ki dʼo̩wo̩ Neomi le̩ la, maku Rutu, e̩ne̩ Moab kʼi chʼo̩ya e̩ne̩ ki ku le̩, e̩ ñʼala manyʼu o̩jo̩ le̩ chuu, kʼe̩ dʼodu e̩ne̩ kʼi ku le̩ kwane̩ tʼoji e̩wñ ogu-wñ. "
6,"Tak e̩ne̩ kʼi nʼo̩da egba ma tane̩ le̩, kakini, U neke gba tane̩ ñw o̩la-mi n, tode̩gba kʼu nakpa e̩wñ ogu-mi onugo bie̩. Uwe̩ ki mʼo̩da e̩gba tane̩ e-mi du, todu u neke gba tane̩ n."
7,"E̩wñ kʼabo Israe̩l che igbegbele ugbo e̩wñ e̩gbatane̩ abe̩k e̩wñ ekpailo̩ ku ma fʼo̩la le̩ lonyane̩ le̩ de̩ kakini, One̩ mʼe̩da-wñ gwo̩ kʼi mʼu du ñw ekeji-wñ, tak e-le̩ mud ijali-wa ojane̩ Israe̩l. "
8,"Abe̩le̩ e̩ne̩ ki nʼo̩da egba ma tane̩ le̩ ka ñwu Boaz kakini, Kwo la ñw o̩la-we̩ ke, oñ i mʼe̩da-wñ gwo̩. "
9,"Taki Boaz ka ñwu abogijo, kpai amone̩ le̩ chaka kakini, Ame̩ chʼame̩nibenu eñini-i ka kʼomi fʼe̩wñ du kʼi chʼe-Elime̩le̩k kpai e̩wñ du ki chʼe-Chilio̩n kpai e-Malo̩n la o̩wo̩ Neomi me̩. "
10,"Anubile̩ ge̩, omi ño̩ fu Rutu, e̩ne̩ Moab kʼi chʼo̩ya Malo̩n le̩ la kʼi chʼo̩ya-mi, kʼu dʼodu e̩ne̩ ki ku kwane̩ oji e̩wñ ogu-wñ, kʼodu e̩ne̩ ki ku le̩ ki we elu bʼef amo̩maye-wñ te̩, kpai alaku uña-wñ; ame̩ chʼame̩nibenu eñini-i. "
11,"Tak o̩chaka amone̩ ku ma jʼalaku le̩ kpai abogijo kakini, Awa chʼame̩nibenu. Jihofa ki je̩ ñw onobule̩ ki awʼef unyi-we̩-i kʼi dabu Reche̩l kpai Lea, kʼama meji le̩ fʼunyi Israe̩l biko le̩. E̩ ki fʼukpahiu ne̩ E̩frata, kʼe̩ mud e̩nuwohi Be̩tle̩he̩m; "
12,"unyi-we̩ ki la dab unyi Pe̩re̩z, e̩ne̩ ku Temar bi ñwu Juda le̩, noj ugbe̩ ki Jihofa ako ñw e̩ ugbo igbe̩le̩-i."
13,"Abe̩le̩ Boaz mi Rutu du, oñ i mud o̩ya-wñ; tak i nyʼejefu ugbo-wñ oñ Jihofa je̩ ñw u fefunyo̩, tak i fʼo̩ma e̩ne̩ke̩le̩ bi. "
14,"Tak abobule̩ le̩ ka ñwu Neomi kakini, Jihofa ki nele, owñ kʼi ma tʼuwe̩ no̩ kʼe̩ we enʼefu o̩pio̩o̩ eñini-i n; odu-wñ ki nʼuwohi ane̩ Israe̩l. "
15,"Owñ la achʼe̩ne̩ kʼi arʼuwe̩ iñmi ko, kpai e̩ne̩ kʼi ane̩ uwe̩ o̩jo̩-we̩; todu o̩ya o̩ma-we̩ kʼi afe̩do̩ we̩ le̩, kʼi chenyo̩ ñw e̩ tʼo̩ma e̩ne̩ke̩le̩ mebie le, owñ le̩ fʼu bi. "
16,"Taki Neomi mʼo̩ma le̩ du, i la mʼu du mʼe̩do̩-wñ, oñ i ne̩ gba. "
17,"Tak amekeji-wñ, abobule̩ le̩, mʼodu du ñw u, ma kakini, Ma fʼo̩ma e̩ne̩ke̩le̩ bi ñwu Neomi me̩. Ma dʼodu-wñ ko̩ Obe̩d; owñ chʼata Je̩si kʼi chʼata Defid."
18,"O̩gba o̩gba Pe̩re̩z le̩ de̩: Pe̩re̩z bi He̩zro̩n, "
19,"He̩zro̩n, la bi Ram, Ram la bi Aminadab, "
20,"Aminadab la bi Nesho̩n, Nesho̩n la bi Salmo̩n, "
21,"Salmo̩n la bi Boaz, Boaz la bi Obe̩d, "
22,"Obe̩d la bi Je̩si, Je̩si la bi Defid."
